figure_id,role,path,sha256,bytes,modified_at
A.7,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_7_datos_usados.csv,491c69a0a832f308e8731998339aa0705dedf35230647d6fb8667a4fc844a546,355,2026-09-15T19:25:14+00:00
A.7,texto_generado,build/text/a_7.md,30ed709cdefbca469967e8af352cdf193abb87906ff95b4ecd48210266a279e2,166,2026-09-15T19:25:14+00:00
A.7,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_7_parrafo.md,30ed709cdefbca469967e8af352cdf193abb87906ff95b4ecd48210266a279e2,166,2026-09-15T19:25:14+00:00
A.7,grafica,build/figures/A/figura_a_7.png,634ac031d2a59029b3477ffd0e3be914b47f13c0544b33053bd3fc72ba1afa97,147163,2026-09-15T19:25:14+00:00
A.7,metadatos,build/metadata/a_7.json,f70a8c964967db66d91cde86bc53afdeb72f10d6d4d178143a96ba199455360f,693,2026-09-15T19:25:14+00:00
A.8,dato_crudo,data/raw/inegi_enigh_2024/objects/7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d/enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00
A.8,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_8_datos_usados.csv,1ababb8e3e5094b5ad09020ca8f33adc92e24b6a43d2f062b3ce213ba499973f,441,2026-09-15T19:25:29+00:00
A.8,texto_generado,build/text/a_8.md,c9e9bf755859dc326b488265c89a2674f92fc1166003a76159c9c2451ede5675,234,2026-09-15T19:25:29+00:00
A.8,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_8_parrafo.md,c9e9bf755859dc326b488265c89a2674f92fc1166003a76159c9c2451ede5675,234,2026-09-15T19:25:29+00:00
A.8,grafica,build/figures/A/figura_a_8.png,a878cdb2cdcfc36dca9cf94d837785f24e4003fbb5175e1a3466f9d833453921,180394,2026-09-15T19:25:29+00:00
A.8,metadatos,build/metadata/a_8.json,29786ef65b54c6838e5abcbe62b88a12d263cf55cefa11548b7541590f35b1d9,722,2026-09-15T19:25:29+00:00
A.9,dato_crudo,data/raw/inegi_enigh_2024/objects/7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d/enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00
A.9,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_9_datos_usados.csv,01443fb4b97f6f9e8f7af752bfa87d4c9fa9bf46f32459e488ea73e74b2dcf2a,357,2026-09-15T19:25:44+00:00
A.9,texto_generado,build/text/a_9.md,0fffcfb5ab4429b7e45b714a28e1d10f027c614a71f5bb7fdc43fad48154fbd2,138,2026-09-15T19:25:44+00:00
A.9,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_9_parrafo.md,0fffcfb5ab4429b7e45b714a28e1d10f027c614a71f5bb7fdc43fad48154fbd2,138,2026-09-15T19:25:44+00:00
A.9,grafica,build/figures/A/figura_a_9.png,ef1b31ad837bdd986f10faa7b9171c10e216571071031aa73e905764bc1d07cb,146370,2026-09-15T19:25:45+00:00
A.9,metadatos,build/metadata/a_9.json,3d9cb35d40ab4ead774541b449acf5ceae169e5a996997cabcac0ccff9b8c14b,696,2026-09-15T19:25:45+00:00
A.10,dato_crudo,data/raw/inegi_enigh_2024/objects/7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d/enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00
A.10,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_10_datos_usados.csv,90d6ea6126f3273345a075ac5408bd6909cebf07337cf681f43e584beb6ef8e9,440,2026-09-15T19:26:00+00:00
A.10,texto_generado,build/text/a_10.md,7026aa2c99b0fe19a59caad3c234c8c04e54a6a83db838ec3bc31467ba92b09f,237,2026-09-15T19:26:00+00:00
A.10,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_10_parrafo.md,7026aa2c99b0fe19a59caad3c234c8c04e54a6a83db838ec3bc31467ba92b09f,237,2026-09-15T19:26:00+00:00
A.10,grafica,build/figures/A/figura_a_10.png,734a5c583b2d19802d07bd361530ee91844c1be733e78335418dbbdde39e5ba4,193903,2026-09-15T19:26:00+00:00
A.10,metadatos,build/metadata/a_10.json,d7f7d7fbf187e079ab99295e598cfe8ff04121440da8a87004d9d7b2f7ee50fb,729,2026-09-15T19:26:00+00:00
B.1,dato_crudo,data/raw/inegi_endutih_2025/objects/65d219261b3890ee12ea/conjunto_de_datos_endutih_2025_csv.zip,65d219261b3890ee12eaf95cdd1185f6b7d52eefd7e698ffd335b604364fd508,8197337,2026-09-15T19:26:08+00:00
B.1,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/b_1_datos_usados.csv,39eec44bcf50d134c4c1ea52562864984011fb0ffca31ae260f6fee84a00f9f5,761,2026-09-15T19:26:08+00:00
B.1,texto_generado,build/text/b_1.md,a0e6dfdedc3c7c651221b210c8d0c49e97c6f36ebfca669f3903ff3bac1a07d4,148,2026-09-15T19:26:08+00:00
B.1,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/b_1_parrafo.md,a0e6dfdedc3c7c651221b210c8d0c49e97c6f36ebfca669f3903ff3bac1a07d4,148,2026-09-15T19:26:08+00:00
B.1,grafica,build/figures/B/figura_b_1.png,e0a9bce203b7433c86be67cef68ab129a1a49dfbd678e3d17b602e680f9b2afb,231256,2026-09-15T19:26:09+00:00
B.1,metadatos,build/metadata/b_1.json,b376e1d2a599eb88b529b538c629631289fa5bc677d23b74d3dd8eb13875e29b,696,2026-09-15T19:26:09+00:00
B.2,dato_crudo,data/raw/inegi_endutih_2025/objects/65d219261b3890ee12ea/conjunto_de_datos_endutih_2025_csv.zip,65d219261b3890ee12eaf95cdd1185f6b7d52eefd7e698ffd335b604364fd508,8197337,2026-09-15T19:26:08+00:00
B.2,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/b_2_datos_usados.csv,40ac2e0dbcd328c148f281707acca58965c864d4e2d3d84bcdd13649a65bd635,676,2026-09-15T19:26:09+00:00
B.2,texto_generado,build/text/b_2.md,d6b9d3c998510f2732d0d21abac8b1f71118296ab728cc9a774434b16272c252,149,2026-09-15T19:26:09+00:00
B.2,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/b_2_parrafo.md,d6b9d3c998510f2732d0d21abac8b1f71118296ab728cc9a774434b16272c252,149,2026-09-15T19:26:09+00:00
