figure_id,source_id,owner,title,expected_period,detected_period,period_assessment,landing_page,exact_url,local_path,sha256,bytes,downloaded_at,source_last_modified,content_type,cache_status,verification_status
A.5,se_ied_sector_2026_q2,Secretaría de Economía,"IED por tipo de inversión y actividad económica, cifras actualizadas",2026-T2,2026-T1,ULTIMO_DATO_NUMERICO,https://www.gob.mx/se/acciones-y-programas/competitividad-y-normatividad-inversion-extranjera-directa?state=published,https://www.gob.mx/cms/uploads/attachment/file/1100604/2026_2T_Flujos_TI_AC_3.xlsx,data\manual\A.5\2026_2T_Flujos_TI_AC_3.xlsx,b455e2d8b4b2a6e7631f46a9f736266c73fc5af2440a075103a1d0348595706a,547284,2026-09-08T19:22:33+00:00,,,INSUMO_MANUAL_VERIFICADO,VERIFICADO
A.5,se_ied_general_2026_q2,Secretaría de Economía,IED total de México: cifras originales y actualización,2026-T2,2026-T1,ULTIMO_DATO_NUMERICO,https://www.gob.mx/se/acciones-y-programas/competitividad-y-normatividad-inversion-extranjera-directa?state=published,https://www.gob.mx/cms/uploads/attachment/file/1100772/Datos_originales_y_actualizacion__1_.xlsx,data\manual\A.5\Datos_originales_y_actualizacion__1_.xlsx,f6e7c157e5a417e40756cce4ff605b04c67e6673ad3390cc07d66e1e782d6586,175785,2026-09-08T19:22:30+00:00,,,INSUMO_MANUAL_VERIFICADO,VERIFICADO
A.6,crt_bit_todo_2025_q2,"Comisión Reguladora de Telecomunicaciones (CRT), archivo BIT del IFT",BIT: descarga global de datos públicos,según la tabla,2024-T4,AL_DIA_EN_TABLA,https://bit.crt.gob.mx/BitWebApp/descargaDatos.xhtml,https://bit.crt.gob.mx/descargas/datos/tabs/TODO.zip,data\raw\crt_bit_todo_2025_q2\objects\f75ce7de02249b11d35b\CRT_BIT_TODO.zip,f75ce7de02249b11d35bed3399f7f06558f9e7a18cc9b320180acbe96027d284,1188168847,2026-09-09T22:17:06+00:00,"Thu, 11 Jun 2026 03:33:17 GMT",application/zip,REUTILIZADO,VERIFICADO
A.7,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,2024,AL_DIA,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,data\raw\inegi_enigh_2024\objects\7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d\enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00,,,REUTILIZADO,VERIFICADO
A.8,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,2024,AL_DIA,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,data\raw\inegi_enigh_2024\objects\7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d\enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00,,,REUTILIZADO,VERIFICADO
A.9,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,2024,AL_DIA,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,data\raw\inegi_enigh_2024\objects\7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d\enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00,,,REUTILIZADO,VERIFICADO
A.10,inegi_enigh_2024,INEGI,"ENIGH 2024, nueva serie, datos abiertos CSV",2024,2024,AL_DIA,https://www.inegi.org.mx/programas/enigh/nc/2024/,https://www.inegi.org.mx/contenidos/programas/enigh/nc/2024/datosabiertos/conjunto_de_datos_enigh2024_ns_csv.zip,data\raw\inegi_enigh_2024\objects\7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d\enigh_2024_ns_csv.zip,7cbf18fee02c58849356e5495fb851ae4d0330743e34d26e35973f9ad5a1155d,103139139,2026-09-10T05:33:41+00:00,,,REUTILIZADO,VERIFICADO
B.1,inegi_endutih_2025,INEGI,"ENDUTIH 2025, datos abiertos CSV",2025,2025,AL_DIA,https://www.inegi.org.mx/programas/endutih/2025/,https://www.inegi.org.mx/contenidos/programas/endutih/2025/datosabiertos/conjunto_de_datos_endutih_2025_csv.zip,data\raw\inegi_endutih_2025\objects\65d219261b3890ee12ea\conjunto_de_datos_endutih_2025_csv.zip,65d219261b3890ee12eaf95cdd1185f6b7d52eefd7e698ffd335b604364fd508,8197337,2026-09-15T19:26:01+00:00,"Tue, 16 Jun 2026 12:06:39 GMT",application/x-zip-compressed,DESCARGADO_Y_VERIFICADO,VERIFICADO
B.2,inegi_endutih_2025,INEGI,"ENDUTIH 2025, datos abiertos CSV",2025,2025,AL_DIA,https://www.inegi.org.mx/programas/endutih/2025/,https://www.inegi.org.mx/contenidos/programas/endutih/2025/datosabiertos/conjunto_de_datos_endutih_2025_csv.zip,data\raw\inegi_endutih_2025\objects\65d219261b3890ee12ea\conjunto_de_datos_endutih_2025_csv.zip,65d219261b3890ee12eaf95cdd1185f6b7d52eefd7e698ffd335b604364fd508,8197337,2026-09-15T19:26:01+00:00,"Tue, 16 Jun 2026 12:06:39 GMT",application/x-zip-compressed,REUTILIZADO,VERIFICADO
B.3,inegi_endutih_2025,INEGI,"ENDUTIH 2025, datos abiertos CSV",2025,2025,AL_DIA,https://www.inegi.org.mx/programas/endutih/2025/,https://www.inegi.org.mx/contenidos/programas/endutih/2025/datosabiertos/conjunto_de_datos_endutih_2025_csv.zip,data\raw\inegi_endutih_2025\objects\65d219261b3890ee12ea\conjunto_de_datos_endutih_2025_csv.zip,65d219261b3890ee12eaf95cdd1185f6b7d52eefd7e698ffd335b604364fd508,8197337,2026-09-15T19:26:01+00:00,"Tue, 16 Jun 2026 12:06:39 GMT",application/x-zip-compressed,REUTILIZADO,VERIFICADO
